,Player,T20_Span,T20_Matches,T20_Innings,T20_OVERS,T20_MAIDENS,T20_RUNS_given,T20_WICKETS,T20_BESTFIGURE,T20_BOWL_AVERAGE,T20_ECONOMY,T20_SR,T20_4_WKTS,T20_5_WKTS
590,U Bhatti (CAN),2008-2010,7,7,23.0,0,148,8,3/23,18.50,6.43,17.2,0,0
591,CJ Boyce (AUS),2014-2016,7,7,23.0,0,152,8,2/10,19.00,6.60,17.2,0,0
592,MNR Cooray (Mald),2019-2020,7,7,24.2,0,174,8,3/26,21.75,7.15,18.2,0,0
593,CD de Lange (SCOT),2015-2017,8,7,27.0,0,171,8,2/17,21.37,6.33,20.2,0,0
594,DC Delany (IRE),2019-2019,8,8,28.3,0,222,8,2/12,27.75,7.78,21.3,0,0
595,M Faheem (THAI),2019-2020,7,7,20.0,0,133,8,2/11,16.62,6.65,15.0,0,0
596,Faran Afzal (ESP),2019-2019,9,8,29.0,0,143,8,3/11,17.87,4.93,21.7,0,0
597,Fawad Alam (PAK),2007-2010,24,6,15.0,0,95,8,3/7,11.87,6.33,11.2,0,0
598,SP Gauchan (NEPAL),2014-2015,9,8,30.0,0,169,8,3/9,21.12,5.63,22.5,0,0
599,JOA Gordon (CAN),2013-2019,7,7,25.5,0,184,8,3/14,23.00,7.12,19.3,0,0
600,Z Groenewald (NAM),2019-2019,10,10,28.0,2,163,8,3/20,20.37,5.82,21.0,0,0
601,L Hermida (Mex),2019-2019,5,5,18.0,1,94,8,3/20,11.75,5.22,13.5,0,0
602,Inam-ul-Haq (QAT),2019-2019,11,10,31.0,2,211,8,2/23,26.37,6.80,23.2,0,0
603,Irfan Hafejee (PNM),2021-2021,6,6,17.3,0,144,8,3/26,18.00,8.22,13.1,0,0
604,Jaspreet Singh (ITA),2019-2021,11,7,21.0,1,152,8,2/10,19.00,7.23,15.7,0,0
605,MO Jones (BMUDA),2019-2021,12,11,29.0,0,200,8,2/9,25.00,6.89,21.7,0,0
606,Junaid Khan (PAK),2011-2014,9,9,27.0,0,236,8,3/24,29.50,8.74,20.2,0,0
607,P Khadka (NEPAL),2014-2020,33,26,58.0,2,360,8,2/11,45.00,6.20,43.5,0,0
608,VJ Kingma (NED),2016-2021,9,9,30.4,0,302,8,2/44,37.75,9.84,23.0,0,0
609,P Kumar (INDIA),2008-2012,10,10,26.0,1,193,8,2/14,24.12,7.42,19.5,0,0
610,RAS Lakmal (SL),2011-2019,11,11,34.4,0,330,8,2/26,41.25,9.51,26.0,0,0
611,AV Lalcheta (OMA),2015-2019,17,15,51.3,3,374,8,1/13,46.75,7.26,38.6,0,0
612,WK McCallan (IRE),2008-2009,9,7,21.5,0,152,8,2/26,19.00,6.96,16.3,0,0
613,ZE Matsinhe (MOZ),2019-2021,11,8,24.0,0,158,8,3/27,19.75,6.58,18.0,0,0
614,RP Meredith (AUS),2021-2021,5,5,18.5,0,188,8,3/48,23.50,9.98,14.1,0,0
615,Mohammad Ashraful (BAN),2007-2013,23,8,23.0,0,210,8,3/42,26.25,9.13,17.2,0,0
616,AK Muslar (Blz),2019-2021,9,4,13.0,1,77,8,3/10,9.62,5.92,9.7,0,0
617,Nasrulla Rana (HKG),2019-2020,11,11,26.3,0,223,8,3/25,27.87,8.41,19.8,0,0
618,Nazmul Islam (BAN),2018-2018,13,12,38.3,2,265,8,3/28,33.12,6.88,28.8,0,0
619,R Nehonde (BOT),2019-2021,11,9,26.0,0,187,8,4/7,23.37,7.19,19.5,2,0
620,K Nestor (GIBR),2019-2021,13,11,38.2,0,358,8,3/37,44.75,9.33,28.7,0,0
621,B Niaz (Belg),2021-2021,7,5,13.4,1,79,8,4/8,9.87,5.78,10.2,1,0
622,AR Nurse (WI),2011-2019,13,13,40.0,0,318,8,2/6,39.75,7.95,30.0,0,0
623,R Panchal (ESP),2019-2022,17,12,36.0,1,197,8,3/22,24.62,5.47,27.0,0,0
624,Rakibul Hasan (ITA),2019-2019,8,7,23.0,2,147,8,2/20,18.37,6.39,17.2,0,0
625,Rumman Raees (PAK),2016-2018,8,8,28.5,2,220,8,2/24,27.50,7.63,21.6,0,0
626,Sarfaraz Ali (BHR),2019-2022,17,15,44.3,0,309,8,2/20,38.62,6.94,33.3,0,0
627,HAM Shah (DEN),2019-2021,12,7,20.0,0,129,8,4/23,16.12,6.45,15.0,1,0
628,I Sharma (INDIA),2008-2013,14,14,46.2,0,400,8,2/34,50.00,8.63,34.7,0,0
629,TAM Siriwardana (SL),2015-2017,22,13,23.0,0,206,8,2/17,25.75,8.95,17.2,0,0
630,A Symonds (AUS),2005-2009,14,12,30.5,0,277,8,2/14,34.62,8.98,23.1,0,0
631,Tejwinder Singh (CYP),2021-2021,6,6,20.5,1,105,8,3/11,13.12,5.04,15.6,0,0
632,H Thaker (CAN),2019-2022,11,7,24.0,1,109,8,4/20,13.62,4.54,18.0,1,0
633,RJW Topley (ENG),2015-2022,10,10,33.1,0,285,8,3/24,35.62,8.59,24.8,0,0
634,R van der Merwe (Arg),2019-2019,5,5,13.0,2,62,8,3/9,7.75,4.76,9.7,0,0
635,JJ van der Wath (SA),2006-2007,8,8,31.0,0,231,8,2/31,28.87,7.45,23.2,0,0
636,Wahidullah Sahak (NOR),2021-2022,8,8,22.3,0,172,8,2/24,21.50,7.64,16.8,0,0
637,Waqar Khan (Peru),2019-2019,4,4,13.0,0,86,8,3/21,10.75,6.61,9.7,0,0
638,S Waqas Ahmed (NOR),2019-2021,10,8,23.0,1,154,8,2/24,19.25,6.69,17.2,0,0
639,Abdullah Akbarjan (Aut),2019-2021,8,7,23.0,1,134,7,3/20,19.14,5.82,19.7,0,0
640,VD Adewoye (NGA),2019-2021,13,8,18.2,1,147,7,4/18,21.00,8.01,15.7,1,0
641,Afif Hossain (BAN),2018-2022,41,13,21.0,1,170,7,2/9,24.28,8.09,18.0,0,0
642,Ameel Mauroof (Mald),2019-2021,15,14,34.0,0,289,7,2/13,41.28,8.50,29.1,0,0
643,MK Anafie (Ghana),2021-2021,10,7,19.0,0,136,7,2/32,19.42,7.15,16.2,0,0
644,Anasim Khan (BHR),2019-2021,12,11,38.0,0,300,7,3/15,42.85,7.89,32.5,0,0
645,MJ Ansell (IOM),2020-2021,5,5,18.3,0,98,7,2/9,14.00,5.29,15.8,0,0
646,TD Astle (NZ),2016-2021,5,5,13.0,0,116,7,4/13,16.57,8.92,11.1,1,0
647,Atif Kamal (LUX),2019-2021,8,8,28.0,0,187,7,3/23,26.71,6.67,24.0,0,0
648,Basil Hameed (UAE),2020-2022,16,7,13.5,1,75,7,3/20,10.71,5.42,11.8,0,0
649,V Baskaran (SGP),2019-2020,13,13,38.0,2,258,7,2/13,36.85,6.78,32.5,0,0
650,JP Behrendorff (AUS),2017-2021,9,8,22.0,0,187,7,4/21,26.71,8.50,18.8,1,0
651,P Bhart (NOR),2019-2021,10,9,30.0,1,176,7,2/29,25.14,5.86,25.7,0,0
652,LT Bichard (GUE),2020-2022,5,5,16.0,0,82,7,3/28,11.71,5.12,13.7,0,0
653,D Bishoo (WI),2011-2019,7,7,20.1,1,137,7,4/17,19.57,6.79,17.2,1,0
654,RD Chahar (INDIA),2019-2021,6,6,22.0,0,167,7,3/15,23.85,7.59,18.8,0,0
655,H Dandapani (Fin),2019-2021,7,7,20.0,0,139,7,2/6,19.85,6.95,17.1,0,0
656,M de Lange (SA),2012-2015,6,6,23.2,0,228,7,2/26,32.57,9.77,20.0,0,0
657,JL Denly (ENG),2009-2020,13,6,12.0,0,93,7,4/19,13.28,7.75,10.2,1,0
658,G Goudie (SCOT),2010-2013,9,9,24.5,0,224,7,3/22,32.00,9.02,21.2,0,0
659,CN Greaves (SCOT),2021-2021,9,9,26.3,0,204,7,2/19,29.14,7.69,22.7,0,0
660,AS Hansra (CAN),2012-2013,8,6,15.0,0,94,7,2/13,13.42,6.26,12.8,0,0
661,JW Hastings (AUS),2010-2016,9,9,31.0,0,247,7,3/14,35.28,7.96,26.5,0,0
662,MC Henriques (AUS),2009-2021,24,10,23.0,0,194,7,3/22,27.71,8.43,19.7,0,0
663,MJ Henry (NZ),2014-2017,6,6,22.0,1,191,7,3/44,27.28,8.68,18.8,0,0
664,Hirenkumar Patel (Chile),2019-2019,4,4,15.0,0,82,7,4/21,11.71,5.46,12.8,1,0
665,GB Hogg (AUS),2006-2014,15,15,49.0,1,373,7,2/31,53.28,7.61,42.0,0,0
666,A Husain (Arg),2019-2021,10,8,24.0,1,117,7,3/8,16.71,4.87,20.5,0,0
667,Ibrarul Haq (Saudi),2019-2019,5,5,17.0,0,116,7,3/28,16.57,6.82,14.5,0,0
668,Imran Ali (KUW),2019-2019,4,4,15.0,0,136,7,3/16,19.42,9.06,12.8,0,0
669,Imran Haider (UAE),2016-2019,11,11,31.0,0,250,7,1/16,35.71,8.06,26.5,0,0
670,Jasdeep Singh (USA),2019-2019,4,4,14.0,1,140,7,2/18,20.00,10.00,12.0,0,0
671,Junaid Khan (PORT),2021-2021,4,4,14.0,0,105,7,3/24,15.00,7.50,12.0,0,0
672,S Randiv (SL),2010-2011,7,7,21.0,0,139,7,3/20,19.85,6.61,18.0,0,0
673,NR Kumar (CAN),2012-2019,18,10,26.0,0,160,7,2/18,22.85,6.15,22.2,0,0
674,M Magagula (),2021-2021,6,6,20.0,0,138,7,3/12,19.71,6.90,17.1,0,0
675,MF Maharoof (SL),2006-2016,8,8,27.0,0,199,7,2/18,28.42,7.37,23.1,0,0
676,S Mahmood (ENG),2019-2022,12,11,38.0,0,398,7,3/33,56.85,10.47,32.5,0,0
677,NA Maiolo (ITA),2019-2019,8,7,28.0,0,152,7,2/8,21.71,5.42,24.0,0,0
678,P Malav (LUX),2020-2021,9,8,26.0,0,195,7,2/10,27.85,7.50,22.2,0,0
679,CS Martin (NZ),2007-2008,6,6,23.0,1,193,7,2/14,27.57,8.39,19.7,0,0
680,CE McConchie (NZ),2021-2021,5,5,18.1,0,117,7,3/15,16.71,6.44,15.5,0,0
681,GP Meade (ITA),2019-2021,14,6,22.2,0,130,7,3/18,18.57,5.82,19.1,0,0
682,LA Musiani (Arg),2019-2021,10,8,25.5,1,144,7,3/31,20.57,5.57,22.1,0,0
683,CT Mutombodzi (ZIM),2013-2020,15,9,26.0,0,188,7,2/12,26.85,7.23,22.2,0,0
684,Nasir Hossain (BAN),2011-2016,31,11,29.5,0,262,7,2/26,37.42,8.78,25.5,0,0
685,T Natarajan (INDIA),2020-2021,4,4,16.0,0,122,7,3/30,17.42,7.62,13.7,0,0
686,RB Patel (BUL),2020-2021,10,8,21.0,0,166,7,2/20,23.71,7.90,18.0,0,0
687,SR Patel (ENG),2011-2013,18,15,42.0,0,321,7,2/6,45.85,7.64,36.0,0,0
688,K Pierre (WI),2018-2020,10,10,28.0,0,269,7,2/44,38.42,9.60,24.0,0,0
689,KB Ahir (PNM),2019-2021,8,8,29.2,0,211,7,3/22,30.14,7.19,25.1,0,0
690,JB Reva (PNG),2015-2019,9,8,21.1,0,148,7,2/11,21.14,6.99,18.1,0,0
691,MJ Ross (ITA),2019-2019,8,7,19.0,0,120,7,4/15,17.14,6.31,16.2,1,0
692,Ali Nayyer (SUI),2021-2021,4,4,16.0,0,108,7,3/25,15.42,6.75,13.7,0,0
693,Sayed Shirzad (AFG),2015-2019,4,4,15.0,1,116,7,3/16,16.57,7.73,12.8,0,0
694,Sheraz Sheikh (Belg),2021-2021,7,6,16.0,0,106,7,3/22,15.14,6.62,13.7,0,0
695,DR Smith (WI),2006-2015,33,11,23.4,0,212,7,3/24,30.28,8.95,20.2,0,0
696,OF Smith (WI),2018-2022,10,9,25.0,0,278,7,2/24,39.71,11.12,21.4,0,0
697,M Spry (Peru),2019-2019,4,4,10.0,0,62,7,4/8,8.85,6.20,8.5,1,0
698,S Sreesanth (INDIA),2006-2008,10,9,34.0,2,288,7,2/12,41.14,8.47,29.1,0,0
699,Syed Aziz (MAL),2019-2022,31,15,42.5,0,394,7,2/4,56.28,9.19,36.7,0,0
700,SR Taylor (USA),2019-2021,14,9,23.0,2,110,7,2/10,15.71,4.78,19.7,0,0
701,T Thushara (SL),2008-2010,6,6,22.0,0,179,7,2/37,25.57,8.13,18.8,0,0
702,JC Tredwell (ENG),2012-2014,17,15,52.5,0,416,7,1/16,59.42,7.87,45.2,0,0
703,JDF Vandersay (SL),2015-2022,14,14,49.2,1,395,7,2/26,56.42,8.00,42.2,0,0
704,Waseeq Ahmed (BHR),2021-2022,8,8,24.0,0,159,7,3/14,22.71,6.62,20.5,0,0
705,SMK Waththage (CZK-R),2019-2021,10,10,31.0,3,235,7,3/4,33.57,7.58,26.5,0,0
706,BM Wheeler (NZ),2017-2018,6,6,21.2,0,216,7,2/16,30.85,10.12,18.2,0,0
707,B White (IRE),2021-2021,9,9,32.0,0,244,7,2/23,34.85,7.62,27.4,0,0
708,S Williams (SLE),2021-2021,10,10,31.0,2,158,7,2/13,22.57,5.09,26.5,0,0
709,Zeeshan Kukikhel (HUN),2021-2021,4,4,15.0,0,136,7,3/37,19.42,9.06,12.8,0,0
710,Abdullah Jasat (PNM),2021-2021,6,6,20.0,0,151,6,2/20,25.16,7.55,20.0,0,0
711,IKO Aboagye (Ghana),2019-2019,4,4,14.0,0,83,6,3/26,13.83,5.92,14.0,0,0
712,Abu Hider (BAN),2016-2018,13,12,36.0,0,330,6,2/40,55.00,9.16,36.0,0,0
713,CN Ackermann (NED),2019-2021,14,11,28.0,0,179,6,1/6,29.83,6.39,28.0,0,0
714,A Ahmadhel (BUL),2019-2021,9,8,17.4,0,155,6,2/16,25.83,8.77,17.6,0,0
715,J Albin (BUL),2021-2021,12,10,19.4,0,191,6,2/19,31.83,9.71,19.6,0,0
716,Amir Hayat (UAE),2018-2019,4,4,14.0,0,103,6,2/16,17.16,7.35,14.0,0,0
717,DK Anefie (Ghana),2019-2021,11,10,31.0,0,175,6,3/10,29.16,5.64,31.0,0,0
718,Arsalan Ahmed (GRC),2019-2021,7,7,20.0,2,153,6,3/15,25.50,7.65,20.0,0,0
719,WD Balaji Rao (CAN),2008-2008,4,4,14.0,0,107,6,3/21,17.83,7.64,14.0,0,0
720,TL Best (WI),2013-2014,6,6,20.0,0,154,6,3/18,25.66,7.70,20.0,0,0
721,JAR Blain (SCOT),2007-2008,6,5,20.0,0,108,6,2/23,18.00,5.40,20.0,0,0
722,PRP Boissevain (NED),2019-2021,7,7,27.0,0,233,6,2/43,38.83,8.62,27.0,0,0
723,JA Burrows (IOM),2020-2021,5,5,14.0,0,87,6,4/10,14.50,6.21,14.0,1,0
724,NM Carter (SCOT),2013-2013,7,7,26.0,1,168,6,2/27,28.00,6.46,26.0,0,0
725,RL Chase (WI),2021-2022,6,5,14.2,0,85,6,3/25,14.16,5.93,14.3,0,0
726,JW Chilia (VAN),2019-2019,14,13,47.2,0,315,6,1/21,52.50,6.65,47.3,0,0
727,HA Chohan (TAN),2021-2021,9,7,22.0,1,136,6,2/17,22.66,6.18,22.0,0,0
728,MJ Clarke (AUS),2005-2010,34,15,26.0,0,225,6,1/2,37.50,8.65,26.0,0,0
729,S Dhaniram (CAN),2008-2010,11,11,33.4,1,192,6,2/9,32.00,5.70,33.6,0,0
730,SDJJ Dima (MOZ),2019-2021,8,3,9.0,0,99,6,3/41,16.50,11.00,9.0,0,0
731,Farhad Reza (BAN),2006-2014,13,11,26.0,0,261,6,2/34,43.50,10.03,26.0,0,0
732,Fazalhaq Farooqi (AFG),2021-2022,3,3,12.0,0,72,6,3/18,12.00,6.00,12.0,0,0
733,K Gilham (CZK-R),2020-2021,7,7,28.0,0,162,6,2/34,27.00,5.78,28.0,0,0
734,MD Gunathilaka (SL),2016-2022,36,11,19.4,0,147,6,2/3,24.50,7.47,19.6,0,0
735,Gurpratap Singh (CYP),2021-2021,6,6,20.0,1,129,6,2/10,21.50,6.45,20.0,0,0
736,CV Harrison (GIBR),2021-2021,7,7,19.4,0,188,6,2/31,31.33,9.55,19.6,0,0
737,R Hekure (PNG),2019-2022,12,10,20.5,0,147,6,2/22,24.50,7.05,20.8,0,0
738,S Hirugade (Mex),2019-2019,6,5,13.3,0,92,6,4/16,15.33,6.81,13.5,1,0
739,Imran Arif (Saudi),2021-2021,4,4,16.0,0,88,6,2/14,14.66,5.50,16.0,0,0
740,Irfan Bhima (MWI),2019-2019,4,4,15.0,3,51,6,3/14,8.50,3.40,15.0,0,0
741,SA Jumbe (TAN),2021-2021,7,7,18.0,0,130,6,3/24,21.66,7.22,18.0,0,0
742,S Kaveri (Mex),2019-2019,7,5,13.0,0,70,6,2/10,11.66,5.38,13.0,0,0
743,PK Langat (KENYA),2021-2021,7,6,11.2,0,89,6,2/16,14.83,7.85,11.3,0,0
744,Kushal Malla (NEPAL),2019-2022,15,10,21.0,0,121,6,1/3,20.16,5.76,21.0,0,0
745,KA Maharaj (SA),2021-2021,8,8,29.1,1,170,6,2/24,28.33,5.82,29.1,0,0
746,JL Martel (GUE),2019-2019,3,3,11.0,0,59,6,3/15,9.83,5.36,11.0,0,0
747,J Matharu (CAN),2021-2022,7,7,17.0,1,126,6,3/6,21.00,7.41,17.0,0,0
748,KD Mehta (CZK-R),2021-2021,3,3,10.0,0,63,6,3/18,10.50,6.30,10.0,0,0
749,CAJ Meschede (GER),2019-2019,5,5,20.0,0,115,6,2/11,19.16,5.75,20.0,0,0
750,DJ Mitchell (NZ),2019-2021,25,7,11.5,0,121,6,2/27,20.16,10.22,11.8,0,0
751,Muhammad Ansar (KUW),2020-2020,4,4,13.5,0,143,6,3/27,23.83,10.33,13.8,0,0
752,Muhammad Murad (QAT),2021-2021,4,4,11.0,0,70,6,3/17,11.66,6.36,11.0,0,0
753,JM Muirhead (AUS),2014-2014,5,5,15.0,0,109,6,2/13,18.16,7.26,15.0,0,0
754,Murid Ekrami (Belg),2019-2021,11,11,31.0,0,194,6,2/18,32.33,6.25,31.0,0,0
755,Musawar Shah (QAT),2019-2021,8,8,24.0,1,137,6,3/18,22.83,5.70,24.0,0,0
756,T Muzarabani (ZIM),2015-2016,9,9,30.0,0,280,6,2/31,46.66,9.33,30.0,0,0
757,K Nassoro (TAN),2021-2021,10,9,24.0,1,135,6,3/6,22.50,5.62,24.0,0,0
758,A Natubhai Ahir (PNM),2019-2021,8,7,19.0,0,135,6,4/26,22.50,7.10,19.0,1,0
759,M Ntini (SA),2005-2011,10,10,32.0,0,298,6,2/22,49.66,9.31,32.0,0,0
760,IE O'Brien (NZ),2009-2009,4,4,13.0,0,116,6,2/30,19.33,8.92,13.0,0,0
761,SNJ O'Keefe (AUS),2010-2011,7,7,19.0,0,149,6,3/29,24.83,7.84,19.0,0,0
762,E Packard (GIBR),2019-2021,8,8,26.0,0,193,6,3/34,32.16,7.42,26.0,0,0
763,MW Parkinson (ENG),2019-2021,4,4,14.0,0,133,6,4/47,22.16,9.50,14.0,1,0
764,R Ravindra (NZ),2021-2021,6,5,19.0,0,83,6,3/22,13.83,4.36,19.0,0,0
765,KA Reynolds (Blz),2019-2019,3,3,11.0,0,60,6,3/26,10.00,5.45,11.0,0,0
766,Rokhan Barakzai (AFG),2015-2015,3,3,10.0,0,75,6,2/21,12.50,7.50,10.0,0,0
767,JE Root (ENG),2012-2019,32,9,14.0,0,139,6,2/9,23.16,9.92,14.0,0,0
768,T Rossi (Arg),2021-2021,6,6,16.2,0,118,6,3/19,19.66,7.22,16.3,0,0
769,Sabbir Rahman (BAN),2014-2019,44,8,11.1,0,70,6,3/11,11.66,6.26,11.1,0,0
770,Sagar Pun (NEPAL),2014-2015,9,8,23.3,0,131,6,3/26,21.83,5.57,23.5,0,0
771,Sahel Zadran (Aut),2021-2021,7,7,24.4,0,195,6,2/12,32.50,7.90,24.6,0,0
772,Sarfaraj Patel (LES),2021-2021,6,6,17.0,0,148,6,2/19,24.66,8.70,17.0,0,0
773,E Schiferli (NED),2008-2010,7,6,23.0,0,146,6,3/23,24.33,6.34,23.0,0,0
774,L Shafeeg (Mald),2019-2021,8,7,21.0,0,172,6,3/33,28.66,8.19,21.0,0,0
775,PH Shamdasani (Peru),2019-2019,4,4,12.0,1,70,6,2/8,11.66,5.83,12.0,0,0
776,MM Sharma (INDIA),2014-2015,8,8,23.0,0,185,6,2/28,30.83,8.04,23.0,0,0
777,Shoaib Qureshi (Fin),2019-2019,5,5,13.4,0,109,6,2/22,18.16,7.97,13.6,0,0
778,Sidhant Singh (SGP),2019-2020,11,8,23.0,0,216,6,2/27,36.00,9.39,23.0,0,0
779,LMP Simmons (WI),2007-2021,68,5,7.1,0,72,6,4/19,12.00,10.04,7.1,1,0
780,TB Sole (SCOT),2019-2019,9,6,21.0,0,137,6,2/15,22.83,6.52,21.0,0,0
781,BB Sran (INDIA),2016-2016,2,2,8.0,1,41,6,4/10,6.83,5.12,8.0,1,0
782,Tariq Aziz (PORT),2019-2019,4,4,16.0,0,70,6,3/20,11.66,4.37,16.0,0,0
783,Tauqeer Hussain (ESP),2019-2020,6,6,14.3,0,86,6,2/12,14.33,5.93,14.5,0,0
784,M Taylor (Bhm),2021-2022,11,7,15.2,0,147,6,3/35,24.50,9.58,15.3,0,0
785,Umair Qasim (),2021-2021,6,6,18.0,0,133,6,3/41,22.16,7.38,18.0,0,0
786,WPUJC Vaas (SL),2006-2007,6,6,22.0,1,128,6,2/14,21.33,5.81,22.0,0,0
787,Vinay Ravi (NOR),2021-2022,9,9,29.1,1,166,6,2/10,27.66,5.69,29.1,0,0
788,Waqas Barkat (HKG),2014-2020,30,16,33.2,0,260,6,2/13,43.33,7.80,33.3,0,0
789,KS Williamson (NZ),2011-2021,74,12,19.4,0,164,6,2/16,27.33,8.33,19.6,0,0
790,Zeshan Arif (Aut),2019-2019,3,3,7.5,0,49,6,4/10,8.16,6.25,7.8,1,0
791,SA Abbott (AUS),2014-2022,8,8,22.0,0,178,5,2/14,35.60,8.09,26.4,0,0
792,R Abdulkareem (NGA),2021-2021,7,7,15.0,0,116,5,2/18,23.20,7.73,18.0,0,0
793,AG Achar (SGP),2019-2020,5,5,13.0,0,76,5,2/21,15.20,5.84,15.6,0,0
794,Ali Khan (USA),2021-2021,5,5,18.0,0,127,5,2/30,25.40,7.05,21.6,0,0
795,Amir Zaib (PORT),2021-2021,4,4,14.0,2,84,5,2/17,16.80,6.00,16.8,0,0
796,NK Aneesh Kumar (SUI),2021-2021,3,3,10.3,0,39,5,3/3,7.80,3.71,12.6,0,0
797,Anique Uddin (DEN),2019-2021,11,6,11.0,0,77,5,2/12,15.40,7.00,13.2,0,0
798,R Ankad (Mex),2019-2019,8,8,23.4,1,178,5,3/22,35.60,7.52,28.4,0,0
799,Anshuman Rath (HKG),2015-2017,20,13,33.0,0,264,5,3/6,52.80,8.00,39.6,0,0
800,Arshad Hayat (CZK-R),2019-2019,7,5,10.0,0,103,5,2/15,20.60,10.30,12.0,0,0
801,Azmatullah Omarzai (AFG),2022-2022,2,2,8.0,0,53,5,3/22,10.60,6.62,9.6,0,0
802,Babar Ali (BHR),2019-2019,3,3,9.0,0,70,5,2/18,14.00,7.77,10.8,0,0
803,Bilawal Bhatti (PAK),2013-2015,9,9,26.0,0,255,5,2/36,51.00,9.80,31.2,0,0
804,D Birrell (JER),2021-2021,3,3,11.0,0,62,5,2/15,12.40,5.63,13.2,0,0
805,A Bishnoi (MLT),2021-2021,7,7,16.3,1,146,5,2/25,29.20,8.84,19.8,0,0
806,DR Briggs (ENG),2012-2014,7,6,18.0,0,199,5,2/25,39.80,11.05,21.6,0,0
807,L Bruce (GIBR),2021-2021,9,6,17.0,0,137,5,4/13,27.40,8.05,20.4,1,0
808,KJ Coetzer (SCOT),2008-2021,70,5,11.0,0,71,5,3/25,14.20,6.45,13.2,0,0
809,TH David (SGP),2019-2020,14,11,27.2,0,255,5,1/18,51.00,9.32,32.8,0,0
810,LA Dawson (ENG),2016-2022,8,8,25.0,0,177,5,3/27,35.40,7.08,30.0,0,0
811,DM de Silva (SL),2015-2021,23,12,24.0,0,171,5,2/22,34.20,7.12,28.8,0,0
812,A Dhingra (LUX),2021-2021,3,3,12.0,0,77,5,2/28,15.40,6.41,14.4,0,0
813,M Dixit (LUX),2019-2021,10,10,23.5,0,197,5,3/19,39.40,8.26,28.6,0,0
814,S Dube (INDIA),2019-2020,13,11,21.3,0,216,5,3/30,43.20,10.04,25.8,0,0
815,JA Duffy (NZ),2020-2021,4,4,13.0,0,75,5,4/33,15.00,5.76,15.6,1,0
816,JA Fitzgerald (GIBR),2019-2021,12,9,26.3,0,277,5,2/37,55.40,10.45,31.8,0,0
817,A Flintoff (ENG),2005-2007,7,7,25.0,0,161,5,2/23,32.20,6.44,30.0,0,0
818,M Fru (CAM),2021-2021,4,4,13.0,0,137,5,3/42,27.40,10.53,15.6,0,0
819,R Frylinck (SA),2017-2018,3,3,10.0,0,62,5,2/20,12.40,6.20,12.0,0,0
820,Garret Banner (Blz),2019-2021,7,6,22.0,1,162,5,2/18,32.40,7.36,26.4,0,0
821,S Gasteratos (GRC),2021-2021,4,4,12.5,1,95,5,2/4,19.00,7.40,15.4,0,0
822,WT Gavera (PNG),2015-2017,6,6,17.0,1,113,5,3/17,22.60,6.64,20.4,0,0
823,J Ghadiyali (),2021-2021,6,5,12.2,0,73,5,3/24,14.60,5.91,14.8,0,0
824,DAS Gunaratne (SL),2016-2017,12,10,24.5,0,204,5,1/11,40.80,8.21,29.8,0,0
825,AM Guruge (UAE),2014-2015,5,5,16.0,0,125,5,2/18,25.00,7.81,19.2,0,0
826,Habib Khan (EST),2021-2021,6,6,20.1,0,142,5,3/18,28.40,7.04,24.2,0,0
827,K Hinds (Bhm),2021-2021,6,6,22.0,0,158,5,3/36,31.60,7.18,26.4,0,0
828,JJ Huo (MOZ),2019-2021,11,6,18.1,0,110,5,3/14,22.00,6.05,21.8,0,0
829,Imran Butt (BHR),2020-2020,4,4,12.0,0,104,5,2/24,20.80,8.66,14.4,0,0
830,Imran Yousaf (Saudi),2020-2021,6,6,19.0,0,141,5,2/21,28.20,7.42,22.8,0,0
831,Ishtiaq Ahmad (Saudi),2021-2021,4,4,16.0,0,102,5,2/26,20.40,6.37,19.2,0,0
832,VR Iyer (INDIA),2021-2022,9,4,9.1,0,75,5,2/23,15.00,8.18,11.0,0,0
833,Kaleem Sana (CAN),2022-2022,5,5,19.0,1,104,5,2/16,20.80,5.47,22.8,0,0
834,L Karlsson (SWE),2021-2021,7,7,18.0,0,133,5,3/38,26.60,7.38,21.6,0,0
835,MS Kasprowicz (AUS),2005-2005,2,2,7.0,0,57,5,4/29,11.40,8.14,8.4,1,0
836,A Khan (DEN/ENG),2009-2021,6,6,16.0,1,109,5,2/25,21.80,6.81,19.2,0,0
837,A Kheterpal (HUN),2021-2021,4,4,16.0,0,120,5,2/30,24.00,7.50,19.2,0,0
838,M Kpaka (SLE),2021-2021,7,7,16.5,0,95,5,4/11,19.00,5.64,20.2,1,0
839,R Kumar (ROM),2019-2019,4,3,12.0,0,98,5,2/28,19.60,8.16,14.4,0,0
840,UKPW Kumaranayaka (KUW),2019-2021,8,8,30.0,0,240,5,2/26,48.00,8.00,36.0,0,0
841,GD McGrath (AUS),2005-2005,2,2,8.0,0,79,5,3/31,15.80,9.87,9.6,0,0
842,MW Machan (SCOT),2013-2016,13,7,22.3,0,156,5,3/23,31.20,6.93,27.0,0,0
843,CS MacLeod (SCOT),2009-2021,60,14,29.0,0,209,5,2/17,41.80,7.20,34.8,0,0
844,AK Markram (SA),2019-2021,20,8,18.0,2,134,5,3/21,26.80,7.44,21.6,0,0
845,Y Mitari (RWN),2021-2021,5,5,13.1,1,95,5,2/11,19.00,7.21,15.8,0,0
846,RP Mitchell (Bhm),2021-2021,5,5,20.0,1,167,5,2/24,33.40,8.35,24.0,0,0
